CountryCode,Country,CountrySort,CountryTranslationEnglish,CountryTranslationSpanish,CountryTranslationFrench,CountryTranslationGerman,CountryTranslationDutch,CountryTranslationItalian,CountryTranslationPortuguese,CountryTranslationRussian,CountryTranslationJapanese,CountryTranslationChinese,CountryTranslationHindi,CountryTranslationHebrew
IE,Ireland,1,Ireland,Irlanda,Irlande,Irland,Ierland,Irlanda,Irlanda,Ирландия,アイルランド,爱尔兰,आयरलैंड,אירלנד
PT,Portugal,2,Portugal,Portugal,Portugal,Portugal,Portugal,Portogallo,Portugal,Португалия,ポルトガル,葡萄牙,पुर्तगाल,פורטוגל
GB,England,3,England,Inglaterra,Angleterre,England,Engeland,Inghilterra,Inglaterra,Англия,イングランド,英国,इंग्लैंड,אנגליה
ES,Spain,4,Spain,España,Espagne,Spanien,Spanje,Spagna,Espanha,Испания,スペイン,西班牙,स्पेन,ספרד
FR,France,5,France,Francia,France,Frankreich,Frankrijk,Francia,França,Франция,フランス,法国,फ़्रांस,צרפת
BE,Belgium,6,Belgium,Bélgica,Belgique,Belgien,België,Belgio,Bélgica,Бельгия,ベルギー,比利时,बेल्जियम,בלגיה
NL,Netherlands,7,Netherlands,Países Bajos,Pays-Bas,Niederlande,Nederland,Paesi Bassi,Países Baixos,Нидерланды,オランダ,荷兰,नीदरलैंड,הולנד
CH,Switzerland,8,Switzerland,Suiza,Suisse,Schweiz,Zwitserland,Svizzera,Suíça,Швейцария,スイス,瑞士,स्विट्ज़रलैंड,שוויץ
DE,Germany,9,Germany,Alemania,Allemagne,Deutschland,Duitsland,Germania,Alemanha,Германия,ドイツ,德国,जर्मनी,גרמניה
IT,Italy,10,Italy,Italia,Italie,Italien,Italië,Italia,Itália,Италия,イタリア,意大利,इटली,איטליה
